date,headline,abstract,snippet,lead_paragraph,web_url,section,subsection,byline,document_type,news_desk,type_of_material,word_count,source,keywords
2023-11-18T01:00:54Z,"Flashback: Your Weekly History Quiz, Nov. 19, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/11/17/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-09-29T21:23:06Z,"Flashback: Your Weekly History Quiz, Sept. 1, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/09/29/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-12-22T22:14:28Z,"Flashback: Your Weekly History Quiz, Dec. 24, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/12/22/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-12-09T01:43:44Z,"Flashback: Your Weekly History Quiz, Dec. 10, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/12/08/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-12-06T01:02:40Z,"A New Trump Administration Will ‘Come After’ the Media, Says Kash Patel","Donald Trump, who has already promised to use the Justice Department to “go after” his political adversaries, is expected to install Mr. Patel in a senior role if he returns to power.","Donald Trump, who has already promised to use the Justice Department to “go after” his political adversaries, is expected to install Mr. Patel in a senior role if he returns to power.",,https://www.nytimes.com/2023/12/05/us/politics/trump-kash-patel-journalists.html,U.S.,Politics,"By Jonathan Swan, Maggie Haberman and Charlie Savage",article,Politics,News,1341,The New York Times,"Patel, Kashyap, Trump, Donald J, Bannon, Stephen K, Presidential Election of 2024, News and News Media, Freedom of the Press"
2023-09-03T00:14:53Z,"Flashback: Your Weekly History Quiz, Sept. 3, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/09/02/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-09-08T22:32:31Z,"Flashback: Your Weekly History Quiz, Sept. 10, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/09/08/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-07-10T17:36:48Z,Trial Guide: The Jemaah Islamiyah Case at Guantánamo Bay,"Three prisoners were charged with terrorism, murder and conspiracy in bombings in Indonesia 20 years ago that killed more than 200 people. Two pleaded guilty and were sent home.","Three prisoners were charged with terrorism, murder and conspiracy in bombings in Indonesia 20 years ago that killed more than 200 people. Two pleaded guilty and were sent home.",,https://www.nytimes.com/2023/07/10/us/politics/bali-jakarta-bombings-trial-guide.html,U.S.,Politics,By Carol Rosenberg,article,Washington,News,1288,The New York Times,"Terrorism, United States Defense and Military Forces, September 11 (2001), Military Tribunals, Prisons and Prisoners, Detainees, Torture, Al Qaeda, Jemaah Islamiyah, Central Intelligence Agency, Bali (Indonesia), Jakarta (Indonesia), Nurjaman, Encep (Hambali), Bin Amin, Mohammed Farik, Bin Lep, Mohammed Nazir, Bombs and Explosives"
2023-10-03T09:02:09Z,Trump Wanted to Fire Missiles at Mexico. Now the G.O.P. Wants to Send Troops.,The Republican push to use military force in Mexico against drug cartels started in the Trump White House. He has plans to make the idea a reality in 2025.,The Republican push to use military force in Mexico against drug cartels started in the Trump White House. He has plans to make the idea a reality in 2025.,,https://www.nytimes.com/2023/10/03/us/politics/trump-mexico-cartels-republican.html,U.S.,Politics,"By Jonathan Swan, Maggie Haberman, Charlie Savage and Emiliano Rodríguez Mega",article,Politics,News,2631,The New York Times,"Mexico, Drug Cartels, United States International Relations, United States Defense and Military Forces, Republican Party, Presidential Election of 2024, Trump, Donald J, Drug Abuse and Traffic, Fentanyl, Esper, Mark T, Lopez Obrador, Andres Manuel"
2023-06-15T09:00:40Z,The Radical Strategy Behind Trump’s Promise to ‘Go After’ Biden,Conservatives with close ties to Donald J. Trump are laying out a “paradigm-shifting” legal rationale to erase the Justice Department’s independence from the president.,Conservatives with close ties to Donald J. Trump are laying out a “paradigm-shifting” legal rationale to erase the Justice Department’s independence from the president.,,https://www.nytimes.com/2023/06/15/us/politics/trump-indictment-justice-department.html,U.S.,Politics,"By Jonathan Swan, Charlie Savage and Maggie Haberman",article,Politics,News,1614,The New York Times,"Trump, Donald J, Presidents and Presidency (US), Justice Department, Federal Bureau of Investigation, Special Prosecutors (Independent Counsel), Republican Party, Conservatism (US Politics), Federal Criminal Case Against Trump (Documents Case), Classified Information and State Secrets, Presidential Election of 2024, Biden, Joseph R Jr, United States Politics and Government, Clark, Jeffrey B (1967- ), Vought, Russell T"
2023-09-15T21:34:15Z,"Flashback: Your Weekly History Quiz, Sept. 17, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/09/15/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-04-10T19:14:55Z,Spelling Bee Buddy: Personalized Hints That Update as You Play,Customized hints that update based on your progress in today’s puzzle.,Customized hints that update based on your progress in today’s puzzle.,,https://www.nytimes.com/interactive/2023/upshot/spelling-bee-buddy.html,The Upshot,,"By Neil Berg, Matthew Conlen, Josh Katz, Aaron Krolik, Eve Washington and Eden Weingart",interactive,,Interactive Feature,0,The New York Times,
2023-06-15T09:00:40Z,The Radical Strategy Behind Trump’s Promise to ‘Go After’ Biden,Conservatives with close ties to Donald J. Trump are laying out a “paradigm-shifting” legal rationale to erase the Justice Department’s independence from the president.,Conservatives with close ties to Donald J. Trump are laying out a “paradigm-shifting” legal rationale to erase the Justice Department’s independence from the president.,,https://www.nytimes.com/2023/06/15/us/politics/trump-indictment-justice-department.html,U.S.,Politics,"By Jonathan Swan, Charlie Savage and Maggie Haberman",article,Politics,News,1614,The New York Times,"Trump, Donald J, Presidents and Presidency (US), Justice Department, Federal Bureau of Investigation, Special Prosecutors (Independent Counsel), Republican Party, Conservatism (US Politics), Federal Criminal Case Against Trump (Documents Case), Classified Information and State Secrets, Presidential Election of 2024, Biden, Joseph R Jr, United States Politics and Government, Clark, Jeffrey B (1967- ), Vought, Russell T"
2023-09-15T21:34:15Z,"Flashback: Your Weekly History Quiz, Sept. 17, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/09/15/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-04-10T19:14:55Z,Spelling Bee Buddy: Personalized Hints That Update as You Play,Customized hints that update based on your progress in today’s puzzle.,Customized hints that update based on your progress in today’s puzzle.,,https://www.nytimes.com/interactive/2023/upshot/spelling-bee-buddy.html,The Upshot,,"By Neil Berg, Matthew Conlen, Josh Katz, Aaron Krolik, Eve Washington and Eden Weingart",interactive,,Interactive Feature,0,The New York Times,
2023-11-10T20:17:51Z,"Flashback: Your Weekly History Quiz, Nov. 12, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/11/10/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-07-18T21:55:29Z,Tracking Heat Across the World,See detailed maps of the latest temperature forecasts across the world.,See detailed maps of the latest temperature forecasts across the world.,,https://www.nytimes.com/interactive/2025/world/global-heat-wave-map-tracker.html,World,,"By Lazaro Gamio, Zach Levitt, Elena Shao and Malika Khurana",interactive,,Interactive Feature,0,The New York Times,"Global Warming, , Weather, Heat and Heat Waves, Temperature"
2023-01-19T22:27:14Z,U.S. Drops Case Against Police Officer It Had Called an ‘Insider Threat’,"Baimadajie Angwang, a New York Police Department officer, had been accused of spying for China. Prosecutors said the charges were dismissed after new information had come to light.","Baimadajie Angwang, a New York Police Department officer, had been accused of spying for China. Prosecutors said the charges were dismissed after new information had come to light.",,https://www.nytimes.com/2023/01/19/nyregion/nypd-officer-china-spy-angwang.html,New York,,By Rebecca Davis O’Brien,article,Metro,News,1333,The New York Times,"Espionage and Intelligence Services, Police, Politics and Government, Police Department (NYC), Angwang, Baimadajie (New York, NY, Police Officer), China, New York State, Long Island (NY), Justice Department, Brooklyn (NYC)"
2023-10-31T02:02:09Z,"Flashback: Your Weekly History Quiz, Oct. 31, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/10/30/upshot/flashback.html,The Upshot,,By Maya Salam,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-02-23T19:19:44Z,17 Winter Vegetarian Recipes to Chase Away the Cold-Weather Blues,"Summer produce may get all of the glory, but these weeknight recipes make winter vegetables exciting and bright.","Summer produce may get all of the glory, but these weeknight recipes make winter vegetables exciting and bright.",,https://cooking.nytimes.com/article/winter-vegetables-recipes,Food,,By Tanya Sichynsky and Allison Jiang,article,Dining,NYT Cooking,1252,The New York Times,"Vegetables, Cooking and Cookbooks, Content Type: Service"
